supplier_name,country,category,esg_report_url,score_e,score_s,score_g,score_justification,internal_notes,contract_status,contract_renewal_date,annual_spend,is_archived
BASF SE,Germany,Base chemicals & intermediates,https://report.basf.com/2025/en/,4,4,5,Full ESRS-aligned disclosure with limited assurance. Scope 3 methodology transparent. Governance strong.,Primary intermediates supplier. No concerns raised in last review.,Active,2027-03-31,4200000,false
Dow Inc.,United States,Polymers,https://corporate.dow.com/en-us/about-dow/corporate-reporting/progress-report.html,3,4,4,Long voluntary reporting history. Decarbonisation targets credible; circularity progress slower than peers.,Volume concentration risk - single source for two grades.,Active,2027-01-15,3850000,false
Evonik Industries AG,Germany,Specialty additives,https://www.evonik.com/en/sustainability.html,4,4,4,SBTi-committed. Portfolio sustainability assessment methodology is a strength.,Reliable. Technical support rated highly by production.,Active,2026-11-30,2100000,false
Clariant AG,Switzerland,Catalysts & additives,https://www.clariant.com/en/Company/Integrated-Report/Integrated-Report-2025,5,4,4,Strong environmental disclosure and portfolio transition targets. Governance disclosure thorough.,Premium pricing accepted for catalyst performance.,Active,2027-06-30,1450000,false
Croda International plc,United Kingdom,Specialty surfactants,https://www.croda.com/en-gb/investors/annual-report/2025/sustainability-progress-statement,5,5,4,Best-in-class across all three pillars. Bio-based feedstock share is a genuine differentiator.,Highest-scoring supplier in register. Candidate for case study.,Active,2027-09-30,980000,false
Covestro AG,Germany,Polyurethanes & polycarbonates,https://annualreport.covestro.com/annual-financial-report-2025/en/,4,3,4,Environmental disclosure strong. Social metrics thinner than peers; ownership change adds uncertainty.,Monitor ownership transition for continuity of supply terms.,In renewal,2026-10-31,2650000,false
Solvay SA,Belgium,Soda ash & peroxides,https://www.solvay.com/en/sustainability,3,4,4,CSRD-compliant statement. Absolute emissions remain high given the process base.,Soda ash volumes stable. Freight cost exposure.,Active,2027-04-30,1780000,false
Eastman Chemical Company,United States,Solvents & specialty plastics,https://www.eastman.com/content/dam/eastman/corporate/en/media-center/resources/eastman-sustainability-report-2025.pdf,3,3,4,Reporting adequate. Recycling technology promising but not yet reflected in operational metrics.,Solvent supply steady. Pricing under review.,Under review,2026-12-31,1320000,false
Meridian Solvents Ltd,United Kingdom,Solvents,,2,3,2,No published report. Environmental policy page is a single page with no metrics. Governance unverifiable.,Cheapest source for two solvents. Sustainability flagged this as a risk in the Q2 review - purchasing pushing back on switching cost.,Active,2026-09-30,610000,false
Halbert Industrial Gases Inc,United States,Industrial gases,,3,3,3,EHS statement only. No emissions data published. Neutral rather than poor - insufficient evidence either way.,Regional supplier, hard to replace on logistics.,Active,2027-02-28,740000,false
Tianhe Fine Chemicals Co. Ltd,China,Fine chemical intermediates,,2,2,2,No published disclosure. EcoVadis bronze cited in correspondence but the assessment itself is not shared. Audit access refused in 2025.,ESCALATION CANDIDATE. Sustainability recommends dual-sourcing before renewal. Purchasing notes no qualified alternative at this price point.,In renewal,2026-09-15,520000,false
Northbridge Chemical Distribution,Canada,Distribution & blending,,3,2,3,Distributor - reports only at parent group level, so site-level performance is not visible. Social score reflects absent labour disclosure.,Distribution partner, not a manufacturer. Scope limitations understood.,Active,2027-05-31,430000,false
Kessler Additive Werke GmbH,Germany,Polymer additives,,3,3,,Environmental data published and credible. No governance disclosure - score withheld pending supplier response, requested 12 June 2026.,Awaiting governance questionnaire. Chase before renewal.,Active,2027-08-31,890000,false
Vasco Polymer Compounds SA,Spain,Polymer compounds,,,,,,Newly onboarded. Assessment scheduled for Q4 2026.,Active,2027-10-31,275000,false
